Nest;Area;Year;Contaminated nest;Plant treatment;Feather treatment;log mesophilic bacterial density (1st sampling) cont egg;log mesophilic bacterial density (2nd sampling) cont egg;log mesophilic bacterial density (3rd sampling) cont egg;log mesophilic bacterial density (1st sampling) nocont egg;log mesophilic bacterial density (2nd sampling) nocont egg;log mesophilic bacterial density (3rd sampling) nocont egg;;;;;;;;;;
P4;Area 1;2013;Cont;Aromatics;Pigmented;0.291651066;0.220305339;0.117021471;0.148835262;0.138307382;0.07169816;;;;;;;;;;
P7;Area 1;2013;Cont;Non-aromatic;Unpigmented;0.119700139;0;0.145959374;0.1158182;0;0.076901132;;;;;;;;;;
P8;Area 1;2013;No Cont;Non-aromatic;Pigmented;;;;0;0;0;;;;;;;;;;
P9;Area 1;2013;Cont;Non-aromatic;Pigmented;0.172434459;0.186115661;0.170240892;0.072013408;0;0.079032969;;;;;;;;;;
EC1;Area 3;2013;No Cont;Aromatics;Unpigmented;;;;0.073362098;0.074646346;0.194926765;;;;;;;;;;
EC10;Area 3;2013;No Cont;Non-aromatic;Pigmented;;;;0.198731885;0.220564112;0.14851879;;;;;;;;;;
EC12;Area 3;2013;Cont;Non-aromatic;Pigmented;0.185028321;0.265979748;0.221400739;0.116931568;0.12132493;0.175246022;;;;;;;;;;
EC13;Area 3;2013;No Cont;No plants;Unpigmented;;;;0.340499515;0.224337779;0.294672238;;;;;;;;;;
EC15;Area 3;2013;Cont;No plants;Unpigmented;0.23814208;0.208482804;0.361643238;0.151111294;0.196892102;0.250278342;;;;;;;;;;
EC16;Area 3;2013;No Cont;No plants;Pigmented;;;;0.141784558;0.141784558;0.071662;;;;;;;;;;
EC18;Area 3;2013;Cont;No plants;Pigmented;0.310254088;0.174827762;0.352169591;0.1827352;0.273423208;0.309134813;;;;;;;;;;
EC19;Area 3;2013;No Cont;Aromatics;No feather;;;;0.146136968;0.186681765;0.208726184;;;;;;;;;;
EC2;Area 3;2013;Cont;Aromatics;Unpigmented;0.239690594;0.119365295;0.257783213;0.188226179;0.071401004;0.190476707;;;;;;;;;;
EC20;Area 3;2013;Cont;Aromatics;No feather;0.214714674;0.210410886;0.279121155;0.250579858;0;0.262810912;;;;;;;;;;
EC21;Area 3;2013;Cont;Aromatics;No feather;0.202294913;0.278481195;0.290896007;0.188491415;0.210477683;0.154030573;;;;;;;;;;
EC22;Area 3;2013;No Cont;No plants;No feather;;;;0.24473654;;;;;;;;;;;;
EC22;Area 3;2013;No Cont;No plants;No feather;;;;0.071645277;;;;;;;;;;;;
EC23;Area 3;2013;Cont;No plants;No feather;0.239921036;0.238044659;0.349186686;0.206991744;0.149554966;0.213446;;;;;;;;;;
EC24;Area 3;2013;Cont;No plants;No feather;0.142869076;0.212904969;0.273461516;0.201377304;0.224544318;0.287995816;;;;;;;;;;
EC27;Area 3;2013;No Cont;Non-aromatic;No feather;;;;0.264140767;0.147401205;0.213782849;;;;;;;;;;
EC29;Area 3;2013;Cont;Non-aromatic;No feather;0.250745523;0.207506727;0.324050455;0.246211167;0.116592668;0.20415219;;;;;;;;;;
EC3;Area 3;2013;Cont;Aromatics;Unpigmented;0.151041996;0.282439442;0.299750365;0.149287906;0;0.318907311;;;;;;;;;;
EC30;Area 3;2013;No Cont;Aromatics;Unpigmented;;;;0.267251721;0.18695318;0.284305078;;;;;;;;;;
EC32;Area 3;2013;Cont;Aromatics;Unpigmented;0.287933799;0.242965266;0.213651461;0.291529939;0.295542255;0.240771201;;;;;;;;;;
EC33;Area 3;2013;No Cont;Aromatics;Pigmented;;;;0.286966888;0.07205587;0.304551133;;;;;;;;;;
EC35;Area 3;2013;Cont;Aromatics;Pigmented;0.15168228;0.190619397;0.293937795;0.223014864;0.173498217;0.202921198;;;;;;;;;;
EC36;Area 3;2013;No Cont;Non-aromatic;Unpigmented;;;;0.11576675;0.177060882;0.213744786;;;;;;;;;;
EC37;Area 3;2013;Cont;Non-aromatic;Unpigmented;0.259019716;0.217715712;0.363039183;0.298632021;0.190726435;0.314093599;;;;;;;;;;
EC38;Area 3;2013;Cont;Non-aromatic;Unpigmented;0.318069417;0.280680559;0.370582159;0.372778265;0.318550848;0.11480575;;;;;;;;;;
EC39;Area 3;2013;No Cont;Non-aromatic;Pigmented;;;;0.238156139;0.329969037;0.27224149;;;;;;;;;;
EC4;Area 3;2013;No Cont;Aromatics;Pigmented;;;;0.071553013;0.195055282;0.116536118;;;;;;;;;;
EC40;Area 3;2013;Cont;Non-aromatic;Pigmented;0.255055386;0.291158512;0.255606946;0.254222421;0.236937215;0.286791806;;;;;;;;;;
EC43;Area 3;2013;Cont;No plants;Unpigmented;0.262633557;0.213865201;0.238524194;0.222239349;0.164930598;0.11904722;;;;;;;;;;
EC45;Area 3;2013;No Cont;No plants;Pigmented;;;;0.227163767;0.224209772;0.275507005;;;;;;;;;;
EC46;Area 3;2013;Cont;No plants;Pigmented;0.244811772;0.179864948;0.293176746;0.274366023;0.246193384;0.241878071;;;;;;;;;;
EC47;Area 3;2013;Cont;No plants;Pigmented;0.224800288;0.207632814;0.249009022;0.111422549;0.075196476;0;;;;;;;;;;
EC48;Area 3;2013;No Cont;Aromatics;No feather;;;;0.114120728;0.148360433;0.169015;;;;;;;;;;
EC49;Area 3;2013;Cont;Aromatics;No feather;0.15068502;0.157844354;0.190014906;0.15568715;0.07391257;0.312318217;;;;;;;;;;
EC5;Area 3;2013;Cont;Aromatics;Pigmented;0.244230869;0.146861177;0.191661568;0.195432545;0.220548623;0.151814698;;;;;;;;;;
EC50;Area 3;2013;Cont;Aromatics;No feather;0.071280423;0.193276684;0.341139872;0.207880704;0.115916694;0.356921436;;;;;;;;;;
EC51;Area 3;2013;No Cont;No plants;No feather;;;;0.125010599;0.253153532;0.206229442;;;;;;;;;;
EC52;Area 3;2013;Cont;No plants;No feather;0.235214851;0.202287487;0.147037886;0.261465988;0.240683346;0.149189636;;;;;;;;;;
EC56;Area 3;2013;No Cont;Non-aromatic;No feather;;;;0.36549977;0.244465767;0.208747812;;;;;;;;;;
EC57;Area 3;2013;Cont;Non-aromatic;No feather;0.143209244;0.282873174;0.329369464;0.074033066;0.11841794;0.190074604;;;;;;;;;;
EC58;Area 3;2013;Cont;Non-aromatic;No feather;0.171494773;0.261531264;0.293615354;0;0.234786865;0.192049328;;;;;;;;;;
EC6;Area 3;2013;Cont;Aromatics;Pigmented;0.327652606;0.251234087;0.117359994;0.147116825;0.229128649;0.263151326;;;;;;;;;;
EC7;Area 3;2013;No Cont;Non-aromatic;Unpigmented;;;;0.221005879;0.214644031;0.177462971;;;;;;;;;;
EC8;Area 3;2013;Cont;Non-aromatic;Unpigmented;0.224705833;0.113450227;0.270722626;0.165963359;0.115331856;0.177797564;;;;;;;;;;
EC9;Area 3;2013;Cont;Non-aromatic;Unpigmented;0.352031126;0.116339758;0.285151708;0.115064888;0.116823005;0.074590199;;;;;;;;;;
